date,avg,min,max
2025-07-29,9.380562306196086E-5,6.634168676093152E-5,1.1508105545375027E-4
2025-07-30,1.0454946162925761E-4,8.19343258628232E-5,1.1813525634373355E-4
2025-07-31,9.619783688648202E-5,7.625835132770403E-5,1.144721827587426E-4
2025-08-01,1.1016279070795904E-4,8.184853140837551E-5,1.426430717401069E-4
2025-08-02,1.1555237301145553E-4,9.852088987816135E-5,1.2897557462578476E-4
2025-08-03,9.866863572311999E-5,8.566477598962383E-5,1.1748259566969903E-4
2025-08-04,1.1996871469028292E-4,6.037472121526559E-5,1.3686302725840656E-4
2025-08-05,1.1436947143099247E-4,1.0242516145788827E-4,1.4041968959280183E-4
2025-08-06,1.1227771731806113E-4,1.0398529246186183E-4,1.2824758940000022E-4
2025-08-07,8.580906772693821E-5,5.617673377848815E-5,1.0239539551558882E-4
2025-08-08,1.0502295318996652E-4,8.225436613425859E-5,1.1979015835116732E-4
2025-08-09,9.043013044332875E-5,7.146336429283726E-5,1.0191413457523725E-4
2025-08-10,8.94240821369229E-5,7.501455547739223E-5,1.145710193669636E-4
2025-08-11,1.129953714874076E-4,9.901569540562294E-5,1.462630280004076E-4
2025-08-12,1.0615727311704296E-4,9.957832662602267E-5,1.193860718811005E-4
2025-08-13,9.011094404960141E-5,7.790612289678736E-5,1.0240280244044006E-4
2025-08-14,8.468584182021843E-5,7.31687250663217E-5,1.0866877710224734E-4
2025-08-15,1.0612257453093403E-4,7.792573887845984E-5,1.2151981354704299E-4
2025-08-16,7.736094172899168E-5,7.130649464656787E-5,8.62793114609843E-5
2025-08-17,8.508617833492376E-5,7.098879359548161E-5,9.998284374235656E-5
2025-08-18,9.755610135158445E-5,8.755316957820683E-5,1.092563583756045E-4
2025-08-19,1.0026596232135272E-4,7.933819142626215E-5,1.1558359983630768E-4
2025-08-20,1.1407913684917575E-4,9.374876137303085E-5,1.2432965741049497E-4
2025-08-21,1.1205296366889574E-4,8.087692549442302E-5,1.310340303464354E-4
2025-08-22,1.269041335368576E-4,1.1085111691495372E-4,1.3679609037347873E-4
2025-08-23,1.0917801387151517E-4,9.442977898276978E-5,1.2830535706621378E-4
2025-08-24,9.067086730654452E-5,6.938613660180376E-5,9.990730904992003E-5
2025-08-25,1.0418580223331418E-4,5.33755119249038E-5,1.277824485443967E-4
2025-08-26,1.1805594849738405E-4,8.185183833110388E-5,1.583761049788842E-4
2025-08-27,9.134836095909053E-5,8.501941920241674E-5,1.1179721847949368E-4
2025-08-28,8.586384517824838E-5,8.586384221013833E-5,8.586384919586493E-5
2025-08-29,9.868003567092089E-5,8.082601561899663E-5,1.1078705574638568E-4
2025-08-30,9.280159140610846E-5,7.45436191208747E-5,1.2107447400943721E-4
2025-08-31,8.193863419475962E-5,5.253294875722477E-5,1.1563246509077762E-4
2025-09-01,1.0128737937410527E-4,7.58098103687172E-5,1.1226630158509752E-4
2025-09-02,1.2697604140617796E-4,8.960628838390979E-5,1.579489653523069E-4
2025-09-03,1.0407031267187488E-4,6.889171345383823E-5,1.1559432459774887E-4
2025-09-04,8.982781860754317E-5,6.827442848576077E-5,1.0881687921949385E-4
2025-09-05,1.0836068974230525E-4,8.620182779839904E-5,1.2329836270153256E-4
2025-09-06,9.749820681740777E-5,7.536969496853985E-5,1.1166201875332326E-4
2025-09-07,9.100734815274697E-5,7.824402200625057E-5,1.1964851407725649E-4
